ID; Name (source); Name (display); Description; Frame Length (bytes); Channel Offset (bits); Channel Length (bits); Channel Name (source); Channel Name (display); Channel Data Type; Channel Description; Calibration Function (CHANNELVAL=...); Calibration Function Inverse (USERVAL=...); Unit; Range Min; Range Max; List Name (source); Part-Of-ID; Start Channel; Num Channel; Mirrored TC ID; Group
128; Identification; Identification; Identification information for this node; 8; 0; 8; NodeType; Node type; UnsignedInteger; Node type identifier. For CubeControl Motor, this field will always have the value 4; ; ; ; 0; 0; ; 
 ; ; ; ; ; 8; 8; InterfaceVersion; Interface version; UnsignedInteger; Interface version. This field should have a value of 1; ; ; ; 0; 0; ; 
 ; ; ; ; ; 16; 8; FirmwareMajorVersion; Firmware version (Major); UnsignedInteger; Firmware major version; ; ; ; 0; 0; ; 
 ; ; ; ; ; 24; 8; FirmwareMinorVersion; Firmware version (Minor); UnsignedInteger; Firmware minor version; ; ; ; 0; 0; ; 
 ; ; ; ; ; 32; 16; RuntimeSeconds; Runtime (seconds); UnsignedInteger; Number of seconds since processor start-up; ; ; s; 0; 0; ; 
 ; ; ; ; ; 48; 16; RuntimeMilliseconds; Runtime (milliseconds); UnsignedInteger; Number of milliseconds (after the integer second) since processor start-up; ; ; ms; 0; 0; ; ; 0; 0;  
129; ExtendedIdentification; Extended Identification; Extended Identification information on this node; 4; 0; 16; SerialNumber; Serial Number; UnsignedInteger; Serial number of this unit; ; ; ; 0; 0; ; 
 ; ; ; ; ; 16; 8; I2CAddress; I2C Address; UnsignedInteger; I2C address of this unit; ; ; ; 0; 0; ; 
 ; ; ; ; ; 24; 8; CANAddress; CAN Address; UnsignedInteger; CAN mask of this unit; ; ; ; 0; 0; ; ; 0; 0;  
130; WheelStatus; Wheel Status; Current status telemetry of wheel electronics; 8; 0; 16; RuntimeSeconds; Runtime (seconds); UnsignedInteger; Number of seconds since processor start-up; ; ; s; 0; 0; ; 
 ; ; ; ; ; 16; 16; RuntimeMilliseconds; Runtime (milliseconds); UnsignedInteger; Number of milliseconds (after the integer second) since processor start-up; ; ; ms; 0; 0; ; 
 ; ; ; ; ; 32; 16; Temperature; MCU Temperature; UnsignedInteger; Current temperature of MCU; ; ; ; 0; 0; ; 
 ; ; ; ; ; 48; 8; ControlMode; Motor control mode; Enumeration; Current control mode; ; ; ; 0; 0; ControlModeVal; 
 ; ; ; ; ; 56; 1; BackupMode; Backup-mode state; Boolean; Backup-mode state; ; ; ; 0; 0; ; 
 ; ; ; ; ; 57; 1; MotorSwitch; Motor switch state; Boolean; Motor switch state; ; ; ; 0; 0; ; 
 ; ; ; ; ; 58; 1; HallSwitch; Hall sensor switch state; Boolean; Hall sensor switch state; ; ; ; 0; 0; ; 
 ; ; ; ; ; 59; 1; EncoderSwitch; Encoder switch state; Boolean; Encoder switch state; ; ; ; 0; 0; ; 
 ; ; ; ; ; 60; 1; ErrorFlag; Error Flag; Boolean; Indicates whether an error has occurred; ; ; ; 0; 0; ; ; 0; 0;  
133; WheelSpeed; Wheel Speed; Wheel speed measurement; 2; 0; 16; wheelSpeed; Wheel Speed; SignedInteger; Wheel speed measurement in rpm; RAWVAL/2.0; USERVAL*2.0; RPM; -10000; 10000; ; ; 0; 0;  
134; WheelReference; Wheel Reference; Wheel reference speed; 2; 0; 16; wheelReference; Wheel Reference; SignedInteger; Wheel reference speed in rpm; RAWVAL/2.0; USERVAL*2.0; RPM; -10000; 10000; ; ; 0; 0;  
135; WheelCurrent; Wheel Current; Wheel current measurement; 2; 0; 16; wheelCurrent; Wheel Current; UnsignedInteger; Wheel current measurement; RAWVAL*0.48828125; USERVAL/0.48828125; mA; 0; 0; ; ; 0; 0;  
137; WheelData; Wheel Data; Complete wheel data; 6; 0; 16; WheelSpeed; Wheel Speed; SignedInteger; Wheel speed measurement in rpm; RAWVAL/2.0; USERVAL*2.0; RPM; -10000; 10000; ; 
 ; ; ; ; ; 16; 16; WheelReference; Wheel Reference; SignedInteger; Wheel reference speed in rpm; RAWVAL/2.0; USERVAL*2.0; RPM; -10000; 10000; ; 
 ; ; ; ; ; 32; 16; WheelCurrent; Wheel Current; UnsignedInteger; Wheel current measurement; RAWVAL*0.48828125; USERVAL/0.48828125; mA; 0; 0; ; ; 0; 0;  
138; WheelDataAdditional; Wheel Data Additional; Additional wheel data; 4; 0; 16; WheelDuty; Wheel Duty; SignedInteger; Current duty cycle command to motor; ; ; ; 0; 0; ; 
 ; ; ; ; ; 16; 16; WheelBackupSpeed; Wheel Speed Backup; SignedInteger; Backup wheel speed measurement in rpm; RAWVAL/2.0; USERVAL*2.0; RPM; -10000; 10000; ; ; 0; 0;  
139; PWMGain; PWM Gain; General PWM gain; 3; 0; 16; K; K; SignedInteger; Main gain; ; ; ; 0; 0; ; 
 ; ; ; ; ; 16; 8; Kmultiplier; Kmultiplier; UnsignedInteger; Multiplier for main gain; ; ; ; 0; 0; ; ; 0; 0;  
140; MainGain; Main Gain; Main speed controller gain values; 6; 0; 16; Ki; Ki; UnsignedInteger; Integrator gain; ; ; ; 0; 0; ; 
 ; ; ; ; ; 16; 8; KiMultiplier; KiMultiplier; UnsignedInteger; Multiplier for integrator gain; ; ; ; 0; 0; ; 
 ; ; ; ; ; 24; 16; Kd; Kd; UnsignedInteger; Feedback gain; ; ; ; 0; 0; ; 
 ; ; ; ; ; 40; 8; KdMultiplier; KdMultiplier; UnsignedInteger; Multiplier for feedback gain; ; ; ; 0; 0; ; ; 0; 0;  
141; BackupGain; Backup Gain; Backup speed controller gain values; 6; 0; 16; Ki; Ki; UnsignedInteger; Integrator gain; ; ; ; 0; 0; ; 
 ; ; ; ; ; 16; 8; KiMultiplier; KiMultiplier; UnsignedInteger; Multiplier for integrator gain; ; ; ; 0; 0; ; 
 ; ; ; ; ; 24; 16; Kd; Kd; UnsignedInteger; Feedback gain; ; ; ; 0; 0; ; 
 ; ; ; ; ; 40; 8; KdMultiplier; KdMultiplier; UnsignedInteger; Multiplier for feedback gain; ; ; ; 0; 0; ; ; 0; 0;  
145; StatusErrorFlags; Status and Error Flags; Processor status and error flags; 1; 0; 1; InvalidTelemetry; Invalid Telemetry; Boolean; An invalid telemetry request was received; ; ; ; 0; 0; ; 
 ; ; ; ; ; 1; 1; InvalidTelecommand; Invalid Telecommand; Boolean; An invalid telecommand was received; ; ; ; 0; 0; ; 
 ; ; ; ; ; 2; 1; EncoderError; Encoder Error; Boolean; Encoder indicates an error; ; ; ; 0; 0; ; 
 ; ; ; ; ; 3; 1; UARTError; Uart Error; Boolean; Error in UART protocol; ; ; ; 0; 0; ; 
 ; ; ; ; ; 4; 1; I2CError; I2C Error; Boolean; Error in I2C protocol; ; ; ; 0; 0; ; 
 ; ; ; ; ; 5; 1; CANError; CAN Error; Boolean; Error in CAN protocol; ; ; ; 0; 0; ; 
 ; ; ; ; ; 6; 1; ConfigError; Configuration Error; Boolean; Configuration load error; ; ; ; 0; 0; ; 
 ; ; ; ; ; 7; 1; SpeedError; Speed Error; Boolean; Speed measurements indicates an error; ; ; ; 0; 0; ; ; 0; 0;  
